Time,AIG,American express,Boeing,Bank of America,Canon,Caterpillar,Colgate-Palmolive,Cisco,Dell,Ford,General Electrics,Home Depot,Honda,HP,Intel,Johnson & Johnson,JPMorgan Chase,Coca Cola,Lookheed Martin,McDonalds,3M,Microsoft,Mitsubishi,Navistar,Pepsi,Pfizer,Procter Gamble,Sony,Symantec,Toyota,Texas instruments,Unilever,Valero Energy,Walgreen,Wells Fargo,Wal-Mart,Exxon,Xerox,Yahoo
4/1/2010,-0.640002,0.109997,0.459999,0.45,0.73,0.899997,0.36,0.58,-0.08,0.11,0.23,-0.48,0.439999,0.910002,0.089998,-0.029999,1.059997,-0.119999,0.979995,0.149998,-0.069999,0.33,0.06,0.390004,0.050003,0.66,0.009998,0.5,0.359999,0.330002,-0.190001,0.060001,0.640002,0.290001,0.3,0.489998,0.430001,0.09,0.159999
5/1/2010,-0.65,0,1.77,0.460001,0.369999,0.700001,0.909996,-0.02,0.1,0.51,0.07,0.149999,0.200001,0.53,-0.07,-0.650002,0.889999,-0.5,1.029999,-0.360001,-0.300003,0.109999,0.02,-0.520001,0.98,-0.26,0.009998,0.16,-0.100001,0.599999,-0.09,-0.039997,0.230002,-0.099998,0.8,-0.400001,0.229996,0.01,0.010001
6/1/2010,-0.210001,0.260002,1.549999,0.18,-0.099999,0.25,-0.290001,-0.120001,-0.17,0.16,-0.08,-0.099998,0.180001,-0.349997,-0.01,0.549995,0.469997,-0.019996,0.410004,-0.75,-0.209999,-0.109999,0.01,1.110001,-0.630001,-0.06,-0.090001,-0.029999,0.140002,0.489998,-0.23,0.140001,0.419999,0.560001,0.08,0.07,0.57,-0.08,0
7/1/2010,-0.42,0.720002,2.690003,0.25,-0.169999,0.369999,-0.059998,0.230002,0.15,0.2,0.77,0.26,0.189999,0.01,-0.13,-0.259998,1,-0.140003,-1.759994,0.650002,0.410003,-0.179998,0.04,0.209999,-0.379997,-0.109998,-0.060002,0.059999,-0.149999,0.68,0.15,-0.01,0.170007,0.25,1.009998,-0.120003,-0.099999,0.07,-0.109998
8/1/2010,0.710001,0.190003,0.059997,-0.199999,0.030003,1.09,1.300003,0.280001,0.05,0.02,0.290001,-0.02,0.25,0.489999,0.289999,0.290001,0.310001,-0.309997,1.260003,-0.43,0.629998,0.379999,0.06,-0.190003,0.010002,0.059999,0.079998,0.369999,0.120001,1.260002,0.74,0.18,-0.239991,0.070004,-0.039999,-0.099998,-0.170005,-0.01,0.020001
11/1/2010,-0.200001,-0.270001,-1.080002,-0.06,0.110001,3.179996,0.510003,-0.049999,0,0.21,-0.07,-0.84,0.27,-0.149998,-0.16,-0.529999,-0.59,1.119998,0.209999,0.3,-0.399994,-0.439999,-0.02,0.029998,0.020001,0,0.119999,-0.119999,-0.099998,0.07,-0.34,-0.319997,-0.350004,0.049999,-0.290001,0.879997,0.360001,0.16,-0.03
12/1/2010,-1.130001,0.75,0.36,-0.359998,-0.079998,-0.769996,1.050003,-0.24,0.23,-0.11,0.19,-0.17,-0.130001,-0.060001,-0.26,0.430001,-0.5,0.790001,0.209999,0.630001,0.470001,-0.08,-0.01,-0.510002,1.029999,-0.029999,0.189998,0.100001,0.139999,0.07,-1.11,0.08,0.039997,-0.099998,-0.389999,0.73,0.229996,0.17,0.03
13/1/2010,0.069999,0.300004,0.549999,0.190001,0.14,0.230004,0.529999,0.359998,-0.04,-0.23,0.07,0.129999,0.380001,0.020001,0.24,0.43,0.700001,0.169998,0.719993,-0.270001,-0.330002,0.09,0.03,0.679996,0.639999,0.339998,0.479999,0.380001,-0.049999,0.200004,0.01,-0.050003,-0.139998,0.43,0.59,0.219997,-0.290001,0.07,0.020001
14/1/2010,-0.119999,0.639999,0.530002,0.190001,0.389999,-0.119998,-0.360001,0.370001,-0.25,0.11,-0.09,0.179998,0.049999,0.279996,0.369999,-0.099999,0.489998,0.09,0.049995,0.090001,-0.239998,0.65,0.09,0.639999,0.779999,0.179998,0.160004,0.14,-0.01,1.410003,-0.18,-0.039997,0.209993,-0.049999,0.49,-0.520001,0.139999,-0.02,0.310002
15/1/2010,-0.5,-0.130001,-0.709999,-0.379999,-0.130001,-1.330002,-0.540001,-0.6,-0.47,-0.14,-0.239999,0.260001,-0.129997,-0.119998,-0.59,-0.580001,-0.619999,-0.66,-0.199997,-0.389999,-0.149994,-0.219999,0.05,-0.59,-0.32,0.06,-0.779998,-0.200001,-0.14,-0.739998,-0.18,-0.090001,0.520001,-0.330002,-0.74,-0.66,-0.540001,-0.01,-0.43
